TUTORIAL_POINT_RECENTER	POINT AT THE SCREEN AND PRESS <switch_button_x> TO CENTER THE CURSOR	画面をポイントして<switch_button_x>を押すとカーソルを中央に戻す		POINTEZ L'ÉCRAN ET APPUYEZ SUR <switch_button_x> POUR CENTRER LE CURSEUR	PUNTA ALLO SCHERMO E PREMI <switch_button_x> PER CENTRARE IL CURSORE	ZEIGE AUF DEN BILDSCHIRM UND DRÜCKE <switch_button_x> UM DEN CURSOR ZU ZENTRIEREN	APUNTA A LA PANTALLA Y PULSA <switch_button_x> PARA CENTRAR EL CURSOR		68
CNTRL_OPEN_MENU	<switch_button_plus> OPEN MENU	<switch_button_plus> メニューを開く		<switch_button_plus> OUVRIR MENU	<switch_button_plus> APRI MENÙ	<switch_button_plus>  MENÜ ÖFFNEN	<switch_button_plus> ABRIR MENÚ		30
CNTRL_OPEN_MENU_JOY	<switch_button_plus>/ <switch_button_minus> OPEN MENU	<switch_button_plus>/ <switch_button_minus> メニューを開く		<switch_button_plus>/ <switch_button_minus> OUVRIR MENU	<switch_button_plus>/ <switch_button_minus> APRI MENÙ	<switch_button_plus>/ <switch_button_minus> MENÜ ÖFFNEN	<switch_button_plus>/ <switch_button_minus> ABRIR MENÚ		53
CNTRL_OPEN_INVENTORY	<switch_button_minus> OPEN INVENTORY	<switch_button_minus> アイテムを開く		<switch_button_minus> OUVRIR INVENTAIRE	<switch_button_minus> APRI INVENTARIO	<switch_button_minus> INVENTAR ÖFFNEN	<switch_button_minus> ABRIR INVENTARIO		36
CNTRL_MOVE_PLAYER	<switch_button_rightanalogstick> MOVE PLAYER	<switch_button_rightanalogstick> 移動		<switch_button_rightanalogstick>  DÉPLACER JOUEUR	<switch_button_rightanalogstick>  MUOVI GIOCATORE	<switch_button_rightanalogstick>  SPIELER BEWEGEN	<switch_button_rightanalogstick> MOVER PERSONAJE		44
CNTRL_MOVE_CAMERA	<switch_button_dpad> MOVE CAMERA	<switch_button_dpad> カメラ移動		<switch_button_dpad> DÉPLACER CAMÉRA	<switch_button_dpad> MUOVI VISUALE	<switch_button_dpad> KAMERA BEWEGEN	<switch_button_dpad> MOVER CÁMARA		32
CNTRL_MOVE_CURSOR	<switch_button_leftanalogstick> MOVE CURSOR	<switch_button_leftanalogstick> カーソル移動		<switch_button_leftanalogstick> DÉPLACER CURSEUR	<switch_button_leftanalogstick> MUOVI CURSORE	<switch_button_leftanalogstick> CURSOR BEWEGEN	<switch_button_leftanalogstick> MOVER CURSOR		43
CNTRL_TOGGLE_ZOOM	<switch_button_y> TOGGLE ZOOM	<switch_button_y> ズーム切り替え		<switch_button_y> ZOOMER/DÉZOOMER	<switch_button_y> ATTIVA ZOOM	<switch_button_y> ZOOM UMSCHALTEN	<switch_button_y> ACERCAR/ALEJAR		29
CNTRL_ATTACK	<switch_button_a> / <switch_button_r> TAP / SWORD	<switch_button_a> / <switch_button_r> タップ/剣で攻撃		<switch_button_a> / <switch_button_r> TOUCHER / ÉPÉE	<switch_button_a> / <switch_button_r> TOCCA / SPADA	<switch_button_a> / <switch_button_r> TIPPEN/SCHWERT	<switch_button_a> / <switch_button_r> TOCAR/ESPADA	Changed from <switch_button_a> SWORD ATTACK	49
CNTRL_TOGGLESWORD	<switch_button_b> TOGGLE SWORD/DEFEND	<switch_button_b> 剣と防御の切り替え		<switch_button_b> ACTIVER ÉPÉE/DÉFENSE	<switch_button_b> ATTIVA SPADA/DIFESA	<switch_button_b> SCHWERT/VERTEIDIGUNGEN UMSCHALTEN	<switch_button_b> ALTERNAR ESPADA/DEFENSA		37
CNTRL_TOUCH	TAP	タップ		TOUCHER	TOCCA	TIPPEN	TOCAR		3
CNTRL_TAP	<switch_button_r> TAP	<switch_button_r> タップ		<switch_button_r> TOUCHER	<switch_button_r> TOCCA	<switch_button_r> TIPPEN	<switch_button_r> TOCAR		21
CNTRL_TIPTAP	<switch_button_zr> TIP TAP	<switch_button_zr> トントンする		<switch_button_zr> TOUCHER	<switch_button_zr> TIP TAP	<switch_button_zr> TIPP-TIPP	<switch_button_zr> TOCAR	Removed from control screen	26
CNTRL_PINCHZOOM	PINCH TO ZOOM	つまんでズーム		PINCEZ POUR ZOOMER	AVVICINA LE DITA PER INGRANDIRE	ZUSAMMENZIEHEN ZUM ZOOMEN	PELLIZCA PARA ACERCAR		13
CNTRL_RECENTER_CURSOR	<switch_button_faceup> RECENTER CURSOR	<switch_button_faceup> カーソル戻し		<switch_button_faceup> RECENTRER CURSEUR	<switch_button_faceup> RICENTRA CURSORE	<switch_button_faceup> CURSOR NEUZENTRIEREN	<switch_button_faceup> RECENTRAR CURSOR		38
CNTRL_POINT_TO_MOVE_CURSOR	POINT TO MOVE CURSOR	ポイントでカーソルを移動		POINTER POUR BOUGER LE CURSEUR	MUOVI IL CURSORE PUNTANDO	ZEIGEN ZUM BEWEGEN DES CURSORS	APUNTA PARA MOVER EL CURSOR		20
CNTRL_ATTACK_JOY	<switch_button_faceright> / <switch_button_l> / <switch_button_r> TAP / SWORD	<switch_button_faceright> / <switch_button_l> / <switch_button_r> タップ/剣で攻撃		<switch_button_faceright> / <switch_button_l> / <switch_button_r> TOUCHER / ÉPÉE	<switch_button_faceright> / <switch_button_l> / <switch_button_r> TOCCA / SPADA	<switch_button_faceright> / <switch_button_l> / <switch_button_r> TIPPEN/SCHWERT	<switch_button_faceright> / <switch_button_l> / <switch_button_r> TOCAR/ESPADA	Should this also be TAP / SWORD?	77
CNTRL_TOGGLESWORD_JOY	<switch_button_facedown> TOGGLE SWORD/DEFEND	<switch_button_facedown> 剣と防御の切り替え		<switch_button_facedown> ACTIVER ÉPÉE/DÉFENSE	<switch_button_facedown> ATTIVA SPADA/DIFESA	<switch_button_facedown> SCHWERT/VERTEIDIGUNGEN UMSCHALTEN	<switch_button_facedown> ALTERNAR ESPADA/DEFENSA		44
CNTRL_TOGGLE_ZOOM_JOY	<switch_button_faceleft> TOGGLE ZOOM	<switch_button_faceleft> ズーム切り替え		<switch_button_faceleft> ZOOMER/DÉZOOMER	<switch_button_faceleft> ATTIVA ZOOM	<switch_button_faceleft> ZOOM UMSCHALTEN	<switch_button_faceleft> ACERCAR/ALEJAR		36
CALIB_FLATSURFACE	PLACE THE JOY-CON ON A FLAT SURFACE UNTIL IT IS AT REST	Joy-Conを平らで安定した場所において、しばらくお待ちください		POSEZ LA MANETTE JOY-CON SUR UNE SURFACE PLANE JUSQU'À CE QU'ELLE SOIT IMMOBILE. 	POSIZIONA IL JOY-CON SU UNA SUPERFICIE PIATTA FINO A CHE È IMMOBILE	PLATZIERE DEN JOY-CON AUF EINE FLACHE OBERFLÄCHE, BIS ER ZUR RUHE GEKOMMEN IST	COLOCA EL JOY-CON EN UNA SUPERFICIE PLANA HASTA QUE ESTÉ INMÓVIL.	IT: "until it is at rest". The joy-con? What's the purpose of putting it on a flat surface? Gameplay or calibrating of some sort? It looks like this is indeed the procedure for calibrating the joy-cons: https://en-americas-support.nintendo.com/app/answers/detail/a_id/22340/~/how-to-calibrate-the-controllers. "Until is at rest" means without touching it basically. The joy-con has to lay completely still. MR - Yeah, I am not sure if they normally have official translations for this stuff or not?	55
CALIB_PICKUP	PICK UP THE JOY-CON	Joy-Conを持ち上げてください		PRENEZ LA JOY-CON	PRENDI IL JOY-CON	NIMM DEN JOY-CON	LEVANTA EL JOY-CON.		19
CALIB_POINT	HOLD THE JOY-CON AS SHOWN AND POINT AT THE SCREEN. PRESS <switch_button_faceup> TO CENTER THE CURSOR.	画像のようにJoy-Conを<br/>持って画面に向けて<br/>ください。<br/><switch_button_faceup>を押すと、カーソルを<br/>画面の中央に移動します。	[2018/10/1 ytk] added line brakes.	MAINTENEZ LA JOY-CON COMME INDIQUÉ ET POINTEZ L'ÉCRAN. APPUYEZ SUR <switch_button_faceup> POUR CENTRER LE CURSEUR.	IMPUGNA IL JOY-CON COME MOSTRATO E PUNTA ALLO SCHERMO. PREMI <switch_button_faceup> PER CENTRARE IL CURSORE.	HALTE DIE JOY-CON WIE GEZEIGT UND RICHTE IHN AUF DEN BILDSCHIRM DRÜCKE <switch_button_faceup>, UM DEN CURSOR ZU ZENTRIEREN.	SUJETA EL JOY-CON COMO SE INDICA Y APUNTA A LA PANTALLA. PULSA <switch_button_faceup> PARA CENTRAR EL CURSOR.		101
CALIB_RECENTER	REMEMBER YOU CAN PRESS <switch_button_faceup> TO RECENTER ANY TIME. PRESS ANY BUTTON TO CONTINUE.	<switch_button_faceup>を押すと、いつでも<br/>カーソルを中央に戻すことが<br/>できます。	[2018/10/1 ytk] added line brakes.	APPUYEZ SUR <switch_button_faceup> POUR RECENTRER À TOUT MOMENT. APPUYEZ SUR UN BOUTON POUR CONTINUER.	PREMI <switch_button_faceup> PER RICENTRARE IN QUALSIASI MOMENTO. PREMI UN PULSANTE PER CONTINUARE.	DENK DARAN, DASS DU JEDERZEIT <switch_button_faceup> ZUM NEUZENTRIEREN DRÜCKEN KANNST. DRÜCKE IRGENDEINE TASTE ZUM FORTFAHREN.	RECUERDA QUE PUEDES PULSAR <switch_button_faceup> PARA RECENTRAR EL CURSOR CUANDO QUIERAS. PULSA UN BOTÓN PARA CONTINUAR.		97
SAVING_NINSWITCH	SAVING	セーブ中		Sauvegarde	SALVATAGGIO	SPEICHERT	GUARDANDO	NEW for Switch Cert - I updated FIGS using translation from STF so they are probably already fine?	
SHEATHE_NINSWITCH	SHEATHE?	しまう？		RENGAINER ? 	SFODERA?	WEGSTECKEN?	¿ENVAINAR?	NEW Sept 10	
FRENCH_SPECIAL	Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €	Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €		Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €	Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €	Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €	Ç ç « » ‹ › € À Â Ä È É Ê Ë Î Ï Ô Œ Ù Û Ü Ÿ Ç ç « » €	NO TRANSLATION NEEDED - Added August 16	
ITALIAN_SPECIAL	À È É Ì Ò Ó Ù º ª « » ‹ › € ª	À È É Ì Ò Ó Ù º ª « » ‹ › € ª		À È É Ì Ò Ó Ù º ª « » ‹ › € ª	À È É Ì Ò Ó Ù º ª « » ‹ › € ª	À È É Ì Ò Ó Ù º ª « » ‹ › € ª	À È É Ì Ò Ó Ù º ª « » ‹ › € ª	NO TRANSLATION NEEDED - Added August 16	
GERMAN_SPECIAL	Ä ä Ö ö Ü ü ẞ ß	Ä ä Ö ö Ü ü ẞ ß		Ä ä Ö ö Ü ü ẞ ß	Ä ä Ö ö Ü ü ẞ ß	Ä ä Ö ö Ü ü ẞ ß	Ä ä Ö ö Ü ü ẞ ß	NO TRANSLATION NEEDED - Added August 16	
SPANISH_SPECIAL	Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €	Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €		Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €	Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €	Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €	Á É Í Ó Ú Ñ Ü ¿ ¡ º ª « » ‹ › €	NO TRANSLATION NEEDED - Added August 16	
TOUCHTRONIC_NINSWITCH	TOUCHTRONIC	タッチ操作		TOUCHTRONIC	TOUCHTRONICO	TOUCHTRONIC	TÁCTIL	Stylized replacement for control scheme names	for Touch-Oriented - Added Sep 5
POINTCLICK_NINSWITCH	POINT & CLICK	ポインター		POINT & CLICK	PUNTA E CLICCA	POINT & CLICK	APUNTAR Y HACER CLIC	Stylized replacement for control scheme names	for Motion-Oriented - sep 5
FAMICOM_NINSWITCH	FAMICOM	ファミコン		FAMICOM	FAMICOM	FAMICOM	FAMICOM	Stylized replacement for control scheme names	for Joystick-Oriented - sep 5
	Thumbstick Cursor Sensitivity 	スティックカーソル感度		Sensibilité du curseur du stick analogique	Sensibilità del cursore dello stick	Curser-Empfindlichkeit für Stick	Sensibilidad del cursor del joystick		Added Sept 12
SOUTHPAW_NINSWITCH	SOUTHPAW	左利き		GAUCHER	MANCINO	LINKSHÄNDER	ZURDO/A		Added Sept 12
NORTHPAW_NINSWITCH	NORTHPAW	右利き		DROITIER	DESTRO	RECHTSHÄNDER	DIESTRO/A		Added Sept 12
JOYCON_STRAP_MSG_NINSWITCH	When using the detached Joy-Con controllers, follow the instructions, attach the straps, and hold the controllers tightly.	取り外したJoy-Conを使うときは、説明書の手順に従い、ストラップを装着し、しっかりと握って使用してください。		Lorsque vous utilisez les manettes Joy-Con détachées, suivez les instructions, attachez les dragonnes et maintenez les Joy-Con fermement dans vos mains.	Quando utilizzi i Joy-Con staccati dalla console, segui le istruzioni, installa i laccetti e impugna i controller con fermezza.	Folge den Anweisungen, wenn du Joy-Con verwendest, befestige die Bänder und halte die Controller gut fest.	Cuando uses los controles Joy-Con desmontables, sigue las instrucciones, fija las correas y sujétalos bien.		Added Sept 12
PHOTOSENSITIVIY_MSG_NINSWITCH	A very small percentage of individuals may experience epileptic seizures when exposed to certain visual images, including light patterns or flashing lights. Exposure to certain patterns or backgrounds on a computer screen, or while playing video games, may induce an epileptic seizure in these individuals. Certain conditions may induce previously undetected epileptic symptoms even in persons who have no history of prior seizures or epilepsy.	ごくまれに、強い光や点滅を含む特定の映像をご覧になった際に、光過敏性の発作が起きる方がいらっしゃいます。こうした体質の方は、画面に表示された特定の模様ないし背景を見た際、あるいはゲームをプレイ中に、発作が誘発される可能性があります。またこうした症状は、これまでに発作やてんかん症状のない方でも同様に誘発される可能性があります。		Un faible pourcentage d'individus peut être pris de crises d'épilepsie lorsqu'ils sont soumis à certaines images, comme des motifs lumineux ou des lumières clignotantes. L'exposition à certains écrans et certaines animations sur un écran, ou en jouant à des jeux vidéo, peut entraîner une crise d'épilepsie chez certaines personnes. Une série de circonstances peut mener à ces crises, même si elles n'avaient jamais été détectées auparavant chez des sujets sans historique de crises d'épilepsies.	Una percentuale molto contenuta di persone potrebbe subire un attacco epilettico se esposta a determinati immagini o schemi di luci fisse o intermittenti. Anche alcuni pattern o sfondi sullo schermo del computer o all'interno di videogiochi potrebbero avere lo stesso effetto. In determinate condizioni, possono verificarsi episodi epilettici persino in soggetti che non hanno mai sofferto di crisi convulsive o epilessia.	Bei einem kleinen Prozentsatz der Bevölkerung können während des Betrachtens bestimmter visueller Bilder, einschließlich gewisser Muster oder Hintergründe auf einem Computerbildschirm, sowie beim Spielen von Videospielen epileptische Erscheinungen auftreten. Auch bei Personen, die bislang keine Anfälle oder Epilepsie hatten, können bei bestimmten Umständen unentdeckte epileptische Veranlagung nicht ausgeschlossen werden.	Existe la posibilidad de que un porcentaje pequeño de personas sufra ataques epilépticos ante la exposición a imágenes determinadas, entre las que se incluyen patrones lumínicos o luces parpadeantes. La exposición a patrones definidos o fondos en una pantalla de computadora o durante un videojuego puede provocar un ataque de epilepsia a dichas personas. Algunas condiciones pueden instigar síntomas epilépticos no detectados incluso en personas que no tienen antecedentes de convulsiones ni epilepsia.		Added Sept 12
PHOTOSENSITIVIY_MSG_NINSWITCH2	If you, or anyone in your family, have an epileptic condition, consult your physician prior to playing. If you experience any of the following symptoms while playing a video or computer game – dizziness, altered vision, eye or muscle twitches, loss of awareness, disorientation, any involuntary movement, or convulsions – discontinue use IMMEDIATELY and consult your physician before resuming play.	ご自身またはご家族の方がてんかん等の症状をお持ちの場合は、ゲームをプレイする前に医師にご相談ください。またゲーム中に、めまい、視覚の変化、目元の痙攣、意識の喪失、方向感覚の喪失、あらゆる不随意運動、痙攣といった症状が生じた場合には直ちにゲームを中止し、再開する前に医師にご相談ください。		Si vous, ou l'un des membres de votre famille souffrez d'épilepsie, veuillez consulter votre médecin avant de jouer. Si vous rencontrez l'un des symptômes suivant en jouant à un jeu vidéo - vertiges, vision altérée, contractions musculaires, pertes de sens, désorientation, mouvements involontaires et convulsions, veuillez cesser IMMÉDIATEMENT de jouer et consulter votre médecin avant de reprendre votre session de jeu.	Se tu o qualcuno della tua famiglia soffrite di epilessia, consultate il vostro medico di fiducia prima di giocare. Nel caso dovessi riscontrare uno dei seguenti sintomi mentre guardi un video o giochi a un videogioco (capogiri, disturbi della vista, spasmi degli occhi o muscolari, perdita della coscienza, disorientamento o qualsiasi forma di movimento o convulsione involontari), interrompi IMMEDIATAMENTE l'attività e consulta un medico prima di giocare di nuovo.	 Befrage einen Arzt, bevor du spielst, wenn bei dir oder einem Mitglied deiner Familie Epilepsie vorliegt. Unterbrich das Spiel SOFORT, wenn bei dir folgende Symptome auftreten sollten: Schwindelgefühle, Sehprobleme, Augen- und Muskelzuckungen, Wahrnehmungsverlust, Desorientierung, unwillkürliche Bewegungen oder Krämpfe. Konsultiere einen Arzt, bevor du weiterspielst.	Si tú o alguien de tu familia sufren de epilepsia, consulta a un médico antes de jugar. Deja de usar el juego de inmediato y consulta a un médico antes de retomarlo si presentas alguno de los síntomas siguientes mientras juegas: mareos, problemas en la vista, contracciones oculares o musculares, pérdida de conocimiento, desorientación, cualquier movimiento involuntario o convulsiones.		Added Sept 12
POINTCLICK_CURSORSENS_NINSWITCH	POINT & CLICK CURSOR SENSITIVITY	ポインターカーソル感度		SENSIBILITÉ CURSEUR POINT & CLICK			SENSIBILIDAD DEL CURSOR DE APUNTAR Y HACER CLIC		
FAM_CURSOR_NOT_USED	FAMICOM Cursor Sensitivity 	ファミコンカーソル感度		SENSIBILITÉ CURSEUR FAMICOM			Sensibilidad del cursor de FAMICOM		
POINTCLICK_PROMPT_NINSWITCH	Point & Click Mode allows you to play with a single Joy-Con as a pointer. This mode is best experienced when played on a television. Are you sure you want to enable Point & Click mode?	ポインターモードでは、1つのJoy-Conをポインターとして使用します。このモードを選択する際は、テレビ画面でのプレイをお勧めします。ポインターモードを有効にしますか？		Le mode Point & Click vous permet de jouer avec une seule Joy-Con en guise de pointeur. Ce mode est plus adapté à un jeu sur télévision. Êtes-vous sûr d'accéder au mode Point & Click ?			El modo Apuntar y hacer clic permite jugar con un solo Joy-Con como puntero. Se disfruta más cuando juegas en un televisor. ¿Seguro que quieres activar el modo Apuntar y hacer clic?		NEW - Might need to split this into 2?
POINTCLICK_PROMPT_ALT_NINSWITCH	Point & Click allows you to play with a single Joy-Con as a pointer and is best experienced when played on a television. Are you sure you want to enable Point & Click controls?	ポインター操作では、1つのJoy-Conをポインターとして使用します。このモードを選択する際は、テレビ画面でのプレイをお勧めします。ポインター操作を有効にしますか？		Le mode Point & Click vous permet de jouer avec une seule manette Joy-Con comme pointeur. Ce mode est plus adapté à un jeu sur téléviseur. Activer le mode Point & Click ?	La modalità Punta e clicca ti permette di giocare con un solo Joy-Con ed è pensata per l'utilizzo con il televisore. Vuoi davvero attivare i controlli Punta e clicca?	Mit Zeigen & KLicken kannst du mit einem Joy-Con als Zeiger spielen. Das funktioniert am besten auf einem Fernseher. Möchtest du Zeigen & Klicken wirklich aktivieren?	El modo Apuntar y hacer clic permite jugar con un solo Joy-Con como puntero. Se disfruta más cuando juegas en un televisor. ¿Seguro que quieres activar el modo Apuntar y hacer clic?		NEW VARIANT
SWAP_STICKS_NINSWITCH	SWAP THUMBSTICKS	スティック操作反転		INVERSER STICKS	INVERTI STICK	STICKS SPIEGELN	INTERCAMBIAR JOYSTICKS		NEW
PLAY_MENU_NINSWITCH	PLAY	ゲームをプレイ		JOUER	GIOCA	Spielen	JUGAR	Translations from STF  English was PLAY GAME but these translations look to just say PLAY	NEW
CREDITS_MENU_NINSWITCH	CREDITS	スタッフロール		CRÉDITS	RINGRAZIAMENTI	MITWIRKENDE	CRÉDITOS	Translations from STF	
GAMEPAD_NINSWITCH	GAMEPAD	ゲームパッド		MANETTE	COMANDI DEL GAMEPAD	GAMEPAD	GAMEPAD		NEW
	CONTROLLER	コントローラー		MANETTE			CONTROL		
CNTRL_MOVE_PLAYER_ALT	<switch_button_leftanalogstick> MOVE PLAYER	<switch_button_leftanalogstick> 移動		<switch_button_leftanalogstick> DÉPLACER JOUEUR	<switch_button_leftanalogstick> MUOVI GIOCATORE	<switch_button_leftanalogstick> SPIELER BEWEGEN	<switch_button_leftanalogstick> MOVER PERSONAJE	This is just an icon variation on previously existing entry.	43
CNTRL_MOVE_CURSOR_ALT	<switch_button_rightanalogstick> MOVE CURSOR	<switch_button_rightanalogstick> カーソル移動		<switch_button_rightanalogstick> DÉPLACER CURSEUR	<switch_button_rightanalogstick> MUOVI CURSORE	<switch_button_rightanalogstick> CURSOR BEWEGEN	<switch_button_rightanalogstick> MOVER CURSOR	This is just an icon variation on previously existing entry.	44
SITCK_SENSITIVITY_NINSWITCH	STICK SENSITIVITY	スティック感度		SENSIBILITÉ STICK	SENSIBILITÀ STICK	STICKEMPFINDLICHKEIT	SENSIBILIDAD DEL JOYSTICK		
MOTION_SENSITIVITY_NINSWITCH	MOTION SENSITIVITY	動き感度		SENSIBILITÉ MOUVEMENT	SENSIBILITÀ MOVIMENTO	BEWEGUNGSEMPFINDLICHKEIT	SENSIBILIDAD DE MOVIMIENTO		
POINTER_SENSITIVITY_NINSWITCH	POINTER SENSITIVITY	ポインター感度		SENSIBILITÉ POINTEUR	SENSIBILITÀ PUNTATORE	ZEIGEREMPFINDLICHKEIT	SENSIBILIDAD DEL PUNTERO		
ENABLE_POINTCLICK_NINSWITCH	ENABLE POINT & CLICK CONTROLS?	ポインター操作を有効にしますか？		AUTORISER LES CONTRÔLES POINT & CLICK ?	ATTIVARE CONTROLLI PUNTA E CLICCA?	ZEIGEN & KLICKEN AKTIVIEREN?	¿HABILITAR CONTROLES DE APUNTAR Y HACER CLIC?		
ENABLE_GAMEPAD_NINSWITCH	ENABLE GAMEPAD CONTROLS?	ゲームパッド操作を有効にしますか？		AUTORISER LES CONTRÔLES MANETTE ?	ATTIVARE CONTROLLI GAMEPAD?	GAMEPAD AKTIVIEREN?	¿HABILITAR CONTROLES DE GAMEPAD?		
ENABLE_FAMICOM_NINSWITCH	ENABLE FAMICOM CONTROLS?	ファミコン操作を有効にしますか？		AUTORISER LES CONTRÔLES FAMICOM ?	ATTIVARE CONTROLLI FAMICON?	FAMICON AKTIVIEREN?	¿HABILITAR CONTROLES DE FAMICOM?		
ENABLE_TOUCHTRONIC_NINSWITCH	ENABLE TOUCHTRONIC CONTROLS?	タッチ操作を有効にしますか？		AUTORISER LES CONTRÔLES TOUCHTRONIC ?	ATTIVARE CONTROLLI TOUCHTRONICI?	TOUCHTRONIC AKTIVIEREN?	¿HABILITAR CONTROLES TÁCTILES?		
DRAW_SWORD_DEFEND	DRAW SWORD/DEFEND	剣を抜く/防御		ÉPÉE/DÉFENDRE	SPADA/DIFESA	SCHWER ZIEHEN/VERTEIDIGEN	DESENVAINAR/DEFENDER		
DRAW_SWORD_SHIELD	DRAW SWORD/SHIELD	剣を抜く/盾		ÉPÉE/BOUCLIER	SPADA/SCUDO	SCHWERT/SCHILD ZIEHEN	DESENVAINAR/ESCUDO		
PRESS_LR_CONTROLLER_NINSWITCH	PRESS <switch_button_l> + <switch_button_r> ON YOUR CONTROLLER	コントローラーの<switch_button_l>と<switch_button_r>を押す	[2018/10/1 ytk] changed "コントローラーで" to "コントローラーの" for better wording.	APPUYEZ SUR <switch_button_l> + <switch_button_r> AVEC VOTRE MANETTE.	PREMI <switch_button_l> + <switch_button_r> SUL CONTROLLER	DRÜCKE <switch_button_l> + <switch_button_r> AUF DEINEM CONTROLLER	PULSA <switch_button_l> + <switch_button_r> EN EL CONTROL		
PRESS_A_NINSWITCH	PRESS <switch_button_a> WHEN YOU'RE READY	準備ができたら<switch_button_a> を押す		APPUYEZ SUR <switch_button_a>  LORSQUE VOUS ÊTES PRÊT.	PREMI <switch_button_a>  QUANDO VUOI	DRÜCKE <switch_button_a> , WENN DU SOWEIT BIST	PULSA <switch_button_a>  CUANDO QUIERAS		
SELECT_NINSWITCH	SELECT	選択		SÉLECT.	SELEZIONA	AUSWÄHLEN	SELECCIONAR		
CHOOSE_NINSWITCH	CHOOSE	選ぶ		CHOISIR	SCEGLI	WÄHLEN	ELEGIR		
FAMICOM_CONTROLS_BLURB_NINSWITCH	BEST PLAYED WITH A GAMEPAD OR IN HANDHELD MODE. 	ゲームパッドまたは携帯モードでのプレイを;~推奨します。	[2018/10/2 ytk] added line berakes in order to fit the text box	OPTIMISÉ AVEC UNE MANETTE DE JEU OU EN MODE PORTABLE	PENSATI PER GAMEPAD O IN MODALITÀ PORTATILE	SPIELT SICH AM BESTEN MIT GAMEPAD ODER IM HANDHELD-MODUS.	SE RECOMIENDA JUGAR CON UN GAMEPAD O EN MODO DE MANO.		
AUTOSAVE_MSG	THIS GAME UTILIZES AUTO-SAVING, WHEN THIS ICON < SAVING_RECORD> IS ON SCREEN DO NOT TURN OFF THE CONSOLE	このゲームでは自動的にセーブを行います。このアイコン< SAVING_RECORD>が表示されている間は、本体の電源を切らないでください。		CE JEU UTILISE LES SAUVEGARDES AUTOMATIQUES, LORSQUE L'ICÔNE < SAVING_RECORD> S'AFFICHE À L'ÉCRAN, N'ÉTEIGNEZ PAS LA CONSOLE.	QUESTO GIOCO UTILIZZA L'AUTOSALVATAGGIO, NON SPEGNERE LA CONSOLE QUANDO VEDI QUESTA ICONA < SAVING_RECORD>	SPIEL SPEICHERT AUTOMATISCH. KONSOLE NICHT AUSSCHALTEN, WENN <SAVING_RECORD> ERSCHEINT.	EL JUEGO USA GUARDADO AUTOMÁTICO. NO APAGUES LA CONSOLA CUANDO VEAS ESTE ÍCONO: < SAVING_RECORD>.		
PRESS_LR_JOYCON_NINSWITCH	PRESS <switch_button_sl> + <switch_button_sr> ON THE JOY-CON	Joy-Conで<switch_button_sl>と<switch_button_sr>を押してください		APPUYEZ SUR <switch_button_sl> + <switch_button_sr> AVEC LA JOY-CON	PREMI <switch_button_sl> + <switch_button_sr> SUL JOY-CON	DRÜCKE <switch_button_sl> + <switch_button_sr> AUF DEM JOY-CON	PULSA <switch_button_sl> + <switch_button_sr> EN EL JOY-CON		
REMOVE_PRESS_LR_JOYCON_NINSWITCH	REMOVE JOY-CON AND PRESS L & R	Joy-Conを取り外してLとRを押してください		RETIREZ LA JOY-CON ET APPUYEZ SUR L & R	RIMUOVI IL JOY-CON E PREMI L + R	ENTFERNE JOY-CON UND DRÜCKE L & R	QUITA EL JOY-CON Y PULSA L + R		
THUMBSTICK_SENS_NINSWITCH	THUMBSTICK SENSITIVITY	スティック感度		SENSIBILITÉ STICK	SENSIBILITÀ STICK	STICKEMPFINDLICHKEIT	SENSIBILIDAD DE JOYSTICKS		
UNSHEATHE_DEFEND_NINSWITCH	UNSHEATHE/DEFEND	剣を抜く/防御		DÉGAINER/DÉFENDRE	SFODERA/DIFENDITI	ZIEHEN/VERTEIDIGEN	DESENVAINAR/DEFENDER		
UNSHEATHE_USE_SHIELD_NINSWITCH	UNSHEATHE/USE SHEILD	剣を抜く/盾を使う		DÉGAINER/UTILISER BOUCLIER	SFODERA/UTILIZZA SCUDO	ZIEHEN/SCHILD NUTZEN	DESENVAINAR/USAR ESCUDO		
CNTRLINFO_CANCEL_NINSWITCH	<switch_button_b> CANCEL	<switch_button_b> キャンセル		<switch_button_b> ANNULER	<switch_button_b> ANNULLA	<switch_button_b> ABBRECHEN	<switch_button_b> CANCELAR		
